Date,Day,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,Time,Temp9am,Humidity9am,Cloud9am,WindDir9am,WindSpeed9am,Pressure9am,Temp3pm,Humidity3pm,Cloud3pm,WindDir3pm,WindSpeed3pm,Pressure3pm,Location,position,RainToday
2025-02-08,Sa,16.8,,5.8,,,,,,21.5,79,,SE,6.0,1009.2,28.1,45.0,8.0,WNW,15.0,1005.5,Canberra,"[-35.2809, 149.1300]",Yes
2025-02-08,Sa,21.4,,0.0,10.6,,,,,23.3,80,3.0,NE,13.0,1009.8,28.8,59.0,4.0,ENE,31.0,1007.0,Sydney,"[-33.8688, 151.2093]",No
2025-02-08,Sa,21.6,,0.0,9.4,,,,,26.8,53,6.0,NE,9.0,1005.1,,,,,,,Perth,"[-31.9505, 115.8605]",No
2025-02-08,Sa,12.1,,0.2,,,,,,13.3,76,,SSW,20.0,1017.0,15.4,54.0,,SE,30.0,1017.7,Hobart,"[-42.8821, 147.3272]",No
2025-02-08,Sa,27.7,,0.0,5.8,,,,,29.1,85,7.0,N,19.0,1002.5,,,,,,,Darwin,"[-12.4634, 130.8456]",No
2025-02-08,Sa,20.1,,0.0,8.4,,,,,27.2,60,3.0,SE,7.0,1010.4,,,,,,,Brisbane,"[-27.4698, 153.0251]",No
2025-02-08,Sa,17.0,,0.0,,,,,,20.2,52,,SE,17.0,1012.8,,,,,,,Adelaide,"[-34.9285, 138.6007]",No
2025-02-08,Sa,21.5,,0.0,9.4,,,,,26.4,50,6.0,E,24.0,1005.0,,,,,,,PerthAirport,"[-31.9403, 115.9663]",No
2025-02-08,Sa,19.7,,20.8,,,,,,22.9,78,,ESE,9.0,1007.7,27.6,59.0,1.0,NE,15.0,1006.3,Albury,"[-36.0737, 146.9135]",Yes
2025-02-08,Sa,14.4,,0.6,,,,,,17.2,62,8.0,SSE,26.0,1015.0,,,,,,,MountGambier,"[-37.8294, 140.7820]",No
2025-02-08,Sa,15.5,,0.0,4.4,,,,,17.4,64,7.0,SSW,20.0,1012.4,20.1,59.0,8.0,S,19.0,1010.7,MelbourneAirport,"[-37.6690, 144.8410]",No
2025-02-08,Sa,17.1,,0.0,,,,,,19.0,57,,SSE,20.0,1010.1,30.2,21.0,,SSW,20.0,1008.0,Mildura,"[-34.2045, 142.1384]",No
2025-02-08,Sa,11.5,,0.0,,,,,,14.4,73,2.0,SSE,30.0,1011.5,22.3,36.0,,S,28.0,1009.5,Ballarat,"[-37.5622, 143.8503]",No
2025-02-08,Sa,,,,,,,,,33.6,35,,ENE,22.0,1003.2,,,,,,,AliceSprings,"[-23.6980, 133.8807]",No
2025-02-08,Sa,15.8,,0.0,4.4,,,,,18.7,70,7.0,S,9.0,1012.1,19.9,71.0,8.0,SSW,11.0,1010.6,Watsonia,"[-37.7160, 145.0820]",No
2025-02-08,Sa,15.2,,0.0,,,,,,17.2,58,,SSE,19.0,1014.9,18.4,54.0,8.0,SE,28.0,1014.3,Portland,"[-38.3452, 141.6056]",No
2025-02-08,Sa,14.9,,0.0,,,,,,17.8,62,,SSE,28.0,1009.5,27.4,30.0,,S,17.0,1007.5,Bendigo,"[-36.7587, 144.2802]",No
2025-02-08,Sa,13.9,,0.0,,,,,,17.4,59,,SE,20.0,1011.8,,,,,,,Nuriootpa,"[-34.4690, 138.9980]",No
2025-02-08,Sa,23.2,,76.2,,,,,,25.2,91,8.0,SW,2.0,1005.2,,,,,,,Townsville,"[-19.2564, 146.8186]",Yes
2025-02-08,Sa,25.0,,0.0,,,,,,27.9,87,7.0,SE,11.0,1004.5,,,,,,,Cairns,"[-16.9186, 145.7781]",No
2025-02-08,Sa,21.3,,0.0,10.6,,,,,25.4,66,3.0,NNE,13.0,1009.8,28.6,50.0,4.0,NE,31.0,1007.0,SydneyAirport,"[-33.9461, 151.1772]",No
2025-02-08,Sa,16.8,,5.4,,,,,,22.0,75,,,0.0,1008.7,30.2,38.0,,WNW,19.0,1005.0,Tuggeranong,"[-35.4185, 149.1108]",Yes
2025-02-08,Sa,21.4,,0.0,,,,,,23.5,73,,N,9.0,1009.8,25.2,73.0,,E,35.0,1006.3,Newcastle,"[-32.9283, 151.7817]",No
2025-02-08,Sa,17.3,,0.6,,,,,,17.8,78,,,,,18.7,96.0,,,,,Sale,"[-38.1056, 147.0680]",No
2025-02-08,Sa,22.0,,0.0,,,,,,23.9,77,,NE,17.0,1009.6,24.9,74.0,7.0,NNE,11.0,1007.6,Wollongong,"[-34.4278, 150.8931]",No
2025-02-08,Sa,24.3,,0.4,,,,,,26.7,55,8.0,ESE,7.0,1006.6,29.1,49.0,8.0,ENE,17.0,1005.2,Cobar,"[-31.4920, 145.8267]",No
2025-02-08,Sa,15.7,,0.0,,,,,,17.0,60,7.0,SSE,24.0,,21.3,48.0,8.0,SSE,31.0,,Launceston,"[-41.4388, 147.1344]",No
2025-02-08,Sa,18.8,,33.6,,,,,,25.1,65,,ENE,7.0,1008.0,24.6,73.0,8.0,E,9.0,1006.5,WaggaWagga,"[-35.1150, 147.3690]",Yes
2025-02-08,Sa,13.9,,0.0,,,,,,17.2,62,,SSE,22.0,1014.4,20.7,45.0,,SE,28.0,1013.4,Dartmoor,"[-37.9189, 141.2720]",No
2025-02-08,Sa,17.0,,0.0,,,,,,25.2,64,,WNW,4.0,1011.3,27.4,62.0,,NE,24.0,1009.1,CoffsHarbour,"[-30.2963, 153.1135]",No
2025-02-08,Sa,17.3,,0.0,,,,,,27.0,56,,ENE,17.0,1005.5,,,,,,,Witchcliffe,"[-34.0081, 115.1005]",No
2025-02-08,Sa,18.7,,0.0,,,,,,24.4,80,,NE,9.0,1009.7,32.5,39.0,1.0,E,9.0,1005.4,Richmond,"[-33.5997, 150.7813]",No
2025-02-08,Sa,19.9,,0.0,,,,,,25.7,71,,E,6.0,,32.3,40.0,,NNE,7.0,,Penrith,"[-33.7514, 150.6943]",No
2025-02-08,Sa,20.4,,0.0,,,,,,27.6,66,,SSE,15.0,1010.5,,,,,,,GoldCoast,"[-28.0167, 153.4000]",No
2025-02-08,Sa,18.4,,0.0,,,,,,21.6,63,,S,24.0,1008.4,,,,,,,Woomera,"[-31.1980, 136.8256]",No
2025-02-08,Sa,19.5,,0.0,,,,,,22.0,71,8.0,E,33.0,1010.1,,,,,,,Albany,"[-35.0228, 117.8814]",No
2025-02-08,Sa,18.4,,0.0,,,,,,24.8,69,,ESE,4.0,1009.5,33.6,38.0,,E,19.0,1005.5,BadgerysCreek,"[-33.9240, 150.7730]",No
2025-02-08,Sa,20.4,,3.0,,,,,,21.6,84,,ESE,24.0,1008.1,24.2,74.0,,ESE,22.0,1007.5,NorfolkIsland,"[-29.0422, 167.9543]",Yes
2025-02-08,Sa,17.9,,0.0,,,,,,23.7,54,,NE,31.0,,,,,,,,SalmonGums,"[-32.9804, 121.6393]",No
2025-02-08,Sa,20.8,,0.2,,,,,,25.3,77,,NNE,13.0,1009.8,29.3,68.0,,NE,31.0,1006.9,NorahHead,"[-33.2810, 151.5744]",No
2025-02-08,Sa,11.6,,9.6,,,,,,15.8,68,,WSW,13.0,,17.2,77.0,,SW,11.0,,MountGinini,"[-35.5250, 148.7725]",Yes
2025-02-08,Sa,21.4,,0.0,,,,,,24.9,61,,NNE,26.0,1010.0,33.1,35.0,3.0,ENE,7.0,1005.4,Moree,"[-29.4989, 149.8450]",No
2025-02-08,Sa,19.2,,0.0,,,,,,21.9,73,,ENE,17.0,1008.5,,,,,,,Walpole,"[-34.9770, 116.7330]",No
2025-02-08,Sa,21.5,,0.0,,,,,,28.9,42,,ESE,20.0,1004.6,,,,,,,PearceRAAF,"[-31.6672, 116.0152]",No
2025-02-08,Sa,17.7,,0.0,,,,,,23.9,73,,N,6.0,1009.8,30.1,54.0,,ENE,20.0,1006.3,Williamtown,"[-32.7950, 151.8330]",No
2025-02-08,Sa,17.4,,0.0,4.4,,,,,19.2,61,7.0,SSW,13.0,1012.3,20.0,67.0,8.0,S,11.0,1010.9,Melbourne,"[-37.8136, 144.9631]",No
2025-02-08,Sa,11.7,,0.0,,,,,,17.2,61,,SSE,22.0,1011.9,26.2,26.0,,SSE,26.0,1009.4,Nhil,"[-36.3301, 141.6525]",No
