0,Link,Link_new,position
Canberra,2801,http://www.bom.gov.au/climate/dwo/IDCJDW2801.latest.shtml,"[-35.2809, 149.1300]"
Sydney,2124,http://www.bom.gov.au/climate/dwo/IDCJDW2124.latest.shtml,"[-33.8688, 151.2093]"
Perth,6111,http://www.bom.gov.au/climate/dwo/IDCJDW6111.latest.shtml,"[-31.9505, 115.8605]"
Hobart,7021,http://www.bom.gov.au/climate/dwo/IDCJDW7021.latest.shtml,"[-42.8821, 147.3272]"
Darwin,8014,http://www.bom.gov.au/climate/dwo/IDCJDW8014.latest.shtml,"[-12.4634, 130.8456]"
Brisbane,4019,http://www.bom.gov.au/climate/dwo/IDCJDW4019.latest.shtml,"[-27.4698, 153.0251]"
Adelaide,5081,http://www.bom.gov.au/climate/dwo/IDCJDW5081.latest.shtml,"[-34.9285, 138.6007]"
PerthAirport,6110,http://www.bom.gov.au/climate/dwo/IDCJDW6110.latest.shtml,"[-31.9403, 115.9663]"
Albury,2002,http://www.bom.gov.au/climate/dwo/IDCJDW2002.latest.shtml,"[-36.0737, 146.9135]"
MountGambier,5041,http://www.bom.gov.au/climate/dwo/IDCJDW5041.latest.shtml,"[-37.8294, 140.7820]"
MelbourneAirport,3049,http://www.bom.gov.au/climate/dwo/IDCJDW3049.latest.shtml,"[-37.6690, 144.8410]"
Mildura,3051,http://www.bom.gov.au/climate/dwo/IDCJDW3051.latest.shtml,"[-34.2045, 142.1384]"
Ballarat,3005,http://www.bom.gov.au/climate/dwo/IDCJDW3005.latest.shtml,"[-37.5622, 143.8503]"
AliceSprings,8002,http://www.bom.gov.au/climate/dwo/IDCJDW8002.latest.shtml,"[-23.6980, 133.8807]"
Watsonia,3079,http://www.bom.gov.au/climate/dwo/IDCJDW3079.latest.shtml,"[-37.7160, 145.0820]"
Portland,3068,http://www.bom.gov.au/climate/dwo/IDCJDW3068.latest.shtml,"[-38.3452, 141.6056]"
Bendigo,3008,http://www.bom.gov.au/climate/dwo/IDCJDW3008.latest.shtml,"[-36.7587, 144.2802]"
Nuriootpa,5049,http://www.bom.gov.au/climate/dwo/IDCJDW5049.latest.shtml,"[-34.4690, 138.9980]"
Townsville,4128,http://www.bom.gov.au/climate/dwo/IDCJDW4128.latest.shtml,"[-19.2564, 146.8186]"
Cairns,4024,http://www.bom.gov.au/climate/dwo/IDCJDW4024.latest.shtml,"[-16.9186, 145.7781]"
SydneyAirport,2125,http://www.bom.gov.au/climate/dwo/IDCJDW2125.latest.shtml,"[-33.9461, 151.1772]"
Tuggeranong,2802,http://www.bom.gov.au/climate/dwo/IDCJDW2802.latest.shtml,"[-35.4185, 149.1108]"
Newcastle,2097,http://www.bom.gov.au/climate/dwo/IDCJDW2097.latest.shtml,"[-32.9283, 151.7817]"
Sale,3022,http://www.bom.gov.au/climate/dwo/IDCJDW3022.latest.shtml,"[-38.1056, 147.0680]"
Wollongong,2146,http://www.bom.gov.au/climate/dwo/IDCJDW2146.latest.shtml,"[-34.4278, 150.8931]"
Cobar,2029,http://www.bom.gov.au/climate/dwo/IDCJDW2029.latest.shtml,"[-31.4920, 145.8267]"
Launceston,7025,http://www.bom.gov.au/climate/dwo/IDCJDW7025.latest.shtml,"[-41.4388, 147.1344]"
WaggaWagga,2139,http://www.bom.gov.au/climate/dwo/IDCJDW2139.latest.shtml,"[-35.1150, 147.3690]"
Dartmoor,3101,http://www.bom.gov.au/climate/dwo/IDCJDW3101.latest.shtml,"[-37.9189, 141.2720]"
CoffsHarbour,2030,http://www.bom.gov.au/climate/dwo/IDCJDW2030.latest.shtml,"[-30.2963, 153.1135]"
Witchcliffe,6081,http://www.bom.gov.au/climate/dwo/IDCJDW6081.latest.shtml,"[-34.0081, 115.1005]"
Richmond,2119,http://www.bom.gov.au/climate/dwo/IDCJDW2119.latest.shtml,"[-33.5997, 150.7813]"
Penrith,2111,http://www.bom.gov.au/climate/dwo/IDCJDW2111.latest.shtml,"[-33.7514, 150.6943]"
GoldCoast,4050,http://www.bom.gov.au/climate/dwo/IDCJDW4050.latest.shtml,"[-28.0167, 153.4000]"
Woomera,5072,http://www.bom.gov.au/climate/dwo/IDCJDW5072.latest.shtml,"[-31.1980, 136.8256]"
Albany,6001,http://www.bom.gov.au/climate/dwo/IDCJDW6001.latest.shtml,"[-35.0228, 117.8814]"
BadgerysCreek,2005,http://www.bom.gov.au/climate/dwo/IDCJDW2005.latest.shtml,"[-33.9240, 150.7730]"
NorfolkIsland,2100,http://www.bom.gov.au/climate/dwo/IDCJDW2100.latest.shtml,"[-29.0422, 167.9543]"
SalmonGums,6119,http://www.bom.gov.au/climate/dwo/IDCJDW6119.latest.shtml,"[-32.9804, 121.6393]"
NorahHead,2099,http://www.bom.gov.au/climate/dwo/IDCJDW2099.latest.shtml,"[-33.2810, 151.5744]"
MountGinini,2804,http://www.bom.gov.au/climate/dwo/IDCJDW2804.latest.shtml,"[-35.5250, 148.7725]"
Moree,2084,http://www.bom.gov.au/climate/dwo/IDCJDW2084.latest.shtml,"[-29.4989, 149.8450]"
Walpole,6138,http://www.bom.gov.au/climate/dwo/IDCJDW6138.latest.shtml,"[-34.9770, 116.7330]"
PearceRAAF,6108,http://www.bom.gov.au/climate/dwo/IDCJDW6108.latest.shtml,"[-31.6672, 116.0152]"
Williamtown,2145,http://www.bom.gov.au/climate/dwo/IDCJDW2145.latest.shtml,"[-32.7950, 151.8330]"
Melbourne,3050,http://www.bom.gov.au/climate/dwo/IDCJDW3050.latest.shtml,"[-37.8136, 144.9631]"
Nhil,3059,http://www.bom.gov.au/climate/dwo/IDCJDW3059.latest.shtml,"[-36.3301, 141.6525]"
